TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20010101,-12.283,0.0,51.0946,4.532,0.0,231.365,0.0,0.803,0.0,98.042,0.0,0.53,0.0,1.911,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,59.0237,0.0,-9999,-9999,-9999,-9999,51.6479,0.0,-9999,-9999,-9999,-9999,-2.50672,0.0,-9999,-2.53273,-2.51707,-2.49383,0.0,0.0,0.0,0.530224,0.537985,0.685529,0.835264,3.03695,3.05739,3.15444,3.34549,3.08372,3.05526,3.0684,3.08511,0.423553,0.423891,0.425349,0.441219,-9999,-9999
20010102,-18.026,0.0,51.6296,11.227,0.0,230.237,0.0,0.698,0.0,98.586,0.0,0.156,0.0,0.667,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.8239,0.0,-9999,-9999,-9999,-9999,37.4204,0.0,-9999,-9999,-9999,-9999,-2.10437,0.0,-9999,-2.15947,-2.12802,-2.07582,0.0,0.0,0.0,0.194309,0.198619,0.28017,0.362135,2.29868,2.28467,2.40819,2.52721,2.28029,2.25925,2.26896,2.28132,0.942799,0.942816,0.94663,0.962565,-9999,-9999
20010103,-13.648,0.0,52.2175,21.228,0.0,223.576,0.0,0.716,0.0,98.081,0.0,0.249,0.0,1.159,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,49.6928,0.0,-9999,-9999,-9999,-9999,42.5394,0.0,-9999,-9999,-9999,-9999,-1.91772,0.0,-9999,-1.97192,-1.91772,-1.90113,0.0,0.0,0.0,0.417011,0.424027,0.556228,0.688808,2.33473,2.33903,2.49658,2.63721,2.90311,2.87632,2.88869,2.90442,1.55669,1.55669,1.56127,1.56585,-9999,-9999
20010104,-9.824,0.0,52.8587,6.124,0.0,252.587,0.0,1.013,0.0,96.457,0.0,2.272,0.0,2.525,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,59.0237,0.0,-9999,-9999,-9999,-9999,51.6479,0.0,-9999,-9999,-9999,-9999,-2.50672,0.0,-9999,-2.53273,-2.51707,-2.49383,0.0,0.0,0.0,0.779434,0.788125,0.958581,1.13785,3.28616,3.30666,3.42749,3.64889,3.39238,3.36107,3.37553,3.39391,0.553577,0.55399,0.555894,0.572966,-9999,-9999
20010105,-20.35,0.0,53.5529,8.007,0.0,212.905,0.0,0.717,0.0,97.479,0.0,0.618,0.0,1.182,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.8239,0.0,-9999,-9999,-9999,-9999,37.4204,0.0,-9999,-9999,-9999,-9999,-2.10437,0.0,-9999,-2.15947,-2.12802,-2.07582,0.0,0.0,0.0,0.120197,0.123249,0.181559,0.242311,2.22457,2.20643,2.30958,2.40328,1.94161,1.9237,1.93197,1.94249,0.70896,0.709466,0.711901,0.730799,-9999,-9999
20010106,-17.602,0.0,54.3005,10.534,0.0,228.541,0.0,0.733,0.0,97.621,0.0,0.972,0.0,0.958,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,49.6928,0.0,-9999,-9999,-9999,-9999,42.5394,0.0,-9999,-9999,-9999,-9999,-1.91772,0.0,-9999,-1.97192,-1.91772,-1.90113,0.0,0.0,0.0,0.205606,0.210159,0.296119,0.38217,2.12332,2.12247,2.23647,2.32632,2.34329,2.32167,2.33165,2.34435,0.888243,0.888259,0.891861,0.907882,-9999,-9999
20010107,-20.344,0.0,55.1017,18.581,0.0,200.307,0.0,0.681,0.0,98.547,0.0,0.358,0.0,0.546,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,59.0237,0.0,-9999,-9999,-9999,-9999,51.6479,0.0,-9999,-9999,-9999,-9999,-2.50672,0.0,-9999,-2.53273,-2.51707,-2.49383,0.0,0.0,0.0,0.112866,0.115855,0.173056,0.233095,2.61959,2.63487,2.65577,2.7349,1.94273,1.9248,1.93308,1.94361,1.41435,1.41435,1.41866,1.42283,-9999,-9999
20010108,-14.793,0.0,55.9567,20.349,0.0,226.546,0.0,0.795,0.0,97.777,0.0,0.071,0.0,1.349,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.8239,0.0,-9999,-9999,-9999,-9999,37.4204,0.0,-9999,-9999,-9999,-9999,-2.10437,0.0,-9999,-2.15947,-2.12802,-2.07582,0.0,0.0,0.0,0.368786,0.375107,0.494468,0.614396,2.47315,2.46581,2.62249,2.78308,2.73774,2.71248,2.72414,2.73898,1.51236,1.51236,1.51688,1.52133,-9999,-9999
20010109,-13.768,0.0,56.8657,17.464,0.0,220.589,0.0,0.736,0.0,96.822,0.0,0.0,0.0,1.207,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,49.6928,0.0,-9999,-9999,-9999,-9999,42.5394,0.0,-9999,-9999,-9999,-9999,-1.91772,0.0,-9999,-1.97192,-1.91772,-1.90113,0.0,0.0,0.0,0.406798,0.413738,0.544455,0.675429,2.32452,2.32866,2.48481,2.62374,2.88728,2.86064,2.87294,2.88858,1.35798,1.35798,1.3622,1.36917,-9999,-9999
20010110,-10.519,0.0,57.8292,28.706,0.0,201.375,0.0,0.743,0.0,97.609,0.0,0.0,0.0,1.08,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,59.0237,0.0,-9999,-9999,-9999,-9999,51.6479,0.0,-9999,-9999,-9999,-9999,-2.50672,0.0,-9999,-2.53273,-2.51707,-2.49383,0.0,0.0,0.0,0.642168,0.651026,0.81954,0.990955,3.14889,3.1694,3.28845,3.50287,3.32848,3.29776,3.31194,3.32997,1.95855,1.95855,1.96395,1.96973,-9999,-9999
20010111,-10.223,0.0,58.8475,18.562,0.0,221.549,0.0,0.773,0.0,98.059,0.0,0.0,0.0,1.203,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.8239,0.0,-9999,-9999,-9999,-9999,37.4204,0.0,-9999,-9999,-9999,-9999,-2.10437,0.0,-9999,-2.15947,-2.12802,-2.07582,0.0,0.0,0.0,0.677301,0.686246,0.857268,1.03225,2.78167,2.7775,2.98529,3.20486,3.36382,3.33278,3.34712,3.36534,1.42983,1.42984,1.43424,1.4393,-9999,-9999
20010112,-11.0,0.0,59.9205,16.72,0.0,227.584,0.0,0.785,0.0,98.685,0.0,0.059,0.0,1.662,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,49.6928,0.0,-9999,-9999,-9999,-9999,42.5394,0.0,-9999,-9999,-9999,-9999,-1.91772,0.0,-9999,-1.97192,-1.91772,-1.90113,0.0,0.0,0.0,0.615456,0.623997,0.786606,0.952121,2.53318,2.53988,2.72696,2.90263,3.26038,3.23029,3.24419,3.26185,1.31279,1.31279,1.3169,1.32564,-9999,-9999
20010113,-20.517,0.0,61.048,29.723,0.0,172.563,0.0,0.687,0.0,99.436,0.0,0.0,0.0,1.053,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,59.0237,0.0,-9999,-9999,-9999,-9999,51.6479,0.0,-9999,-9999,-9999,-9999,-2.50672,0.0,-9999,-2.53273,-2.51707,-2.49383,0.0,0.0,0.0,0.111044,0.113965,0.16989,0.228622,2.61777,2.63175,2.65418,2.73116,1.91719,1.8995,1.90767,1.91805,2.01786,2.01786,2.02341,2.02936,-9999,-9999
20010114,-18.35,0.0,62.2314,25.735,0.0,195.865,0.0,0.696,0.0,98.936,0.0,0.0,0.0,1.445,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.8239,0.0,-9999,-9999,-9999,-9999,37.4204,0.0,-9999,-9999,-9999,-9999,-2.10437,0.0,-9999,-2.15947,-2.12802,-2.07582,0.0,0.0,0.0,0.178462,0.182569,0.260353,0.339083,2.28283,2.26815,2.38838,2.50329,2.23403,2.21342,2.22294,2.23504,1.81927,1.81927,1.82446,1.82982,-9999,-9999
20010115,-19.306,0.0,63.4697,29.638,0.0,177.895,0.0,0.717,0.0,99.647,0.0,0.042,0.0,1.33,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,49.6928,0.0,-9999,-9999,-9999,-9999,42.5394,0.0,-9999,-9999,-9999,-9999,-1.91772,0.0,-9999,-1.97192,-1.91772,-1.90113,0.0,0.0,0.0,0.153804,0.157441,0.226514,0.297069,2.07152,2.06875,2.16687,2.23834,2.09442,2.07509,2.08402,2.09537,2.01907,2.01907,2.02465,2.0306,-9999,-9999
20010116,-19.146,0.0,64.7637,10.201,0.0,221.916,0.0,0.762,0.0,98.703,0.0,1.114,0.0,1.898,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,59.0237,0.0,-9999,-9999,-9999,-9999,51.6479,0.0,-9999,-9999,-9999,-9999,-2.50672,0.0,-9999,-2.53273,-2.51707,-2.49383,0.0,0.0,0.0,0.187681,0.191539,0.264851,0.338792,2.6944,2.71534,2.73376,2.84222,2.11266,2.09317,2.10217,2.11361,0.879756,0.880349,0.883369,0.902602,-9999,-9999
20010117,-13.592,0.0,66.1132,8.221,0.0,232.384,0.0,0.828,0.0,97.671,0.0,0.513,0.0,2.124,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.8239,0.0,-9999,-9999,-9999,-9999,37.4204,0.0,-9999,-9999,-9999,-9999,-2.10437,0.0,-9999,-2.15947,-2.12802,-2.07582,0.0,0.0,0.0,0.448046,0.455061,0.588015,0.72234,2.55241,2.5471,2.71604,2.89207,2.90265,2.87586,2.88823,2.90396,0.728354,0.728876,0.731378,0.751023,-9999,-9999
20010118,-22.179,0.0,67.5188,36.751,0.0,161.916,0.0,0.702,0.0,99.125,0.0,0.0,0.0,1.324,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,49.6928,0.0,-9999,-9999,-9999,-9999,42.5394,0.0,-9999,-9999,-9999,-9999,-1.91772,0.0,-9999,-1.97192,-1.91772,-1.90113,0.0,0.0,0.0,0.0759747,0.0781538,0.120314,0.165821,1.99369,1.9857,2.06067,2.11639,1.67527,1.65981,1.66695,1.67602,2.34693,2.34693,2.35304,2.35997,-9999,-9999
20010119,-10.068,0.0,68.9797,6.725,0.0,258.948,0.0,0.886,0.0,97.681,0.0,0.385,0.0,1.932,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,59.0237,0.0,-9999,-9999,-9999,-9999,51.6479,0.0,-9999,-9999,-9999,-9999,-2.50672,0.0,-9999,-2.53273,-2.51707,-2.49383,0.0,0.0,0.0,0.747949,0.756646,0.926002,1.10282,3.25467,3.27518,3.39491,3.61395,3.36449,3.33344,3.34778,3.36601,0.613871,0.614338,0.616449,0.636498,-9999,-9999
20010120,-9.257,0.0,70.4971,33.139,0.0,223.477,0.0,0.809,0.0,98.323,0.0,0.012,0.0,0.928,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.8239,0.0,-9999,-9999,-9999,-9999,37.4204,0.0,-9999,-9999,-9999,-9999,-2.10437,0.0,-9999,-2.15947,-2.12802,-2.07582,0.0,0.0,0.0,0.752477,0.761979,0.944155,1.13129,2.85685,2.85418,3.07218,3.30465,3.49336,3.46112,3.47601,3.49493,2.2021,2.2021,2.20804,2.21454,-9999,-9999
20010121,-7.062,0.0,72.0704,30.095,0.0,225.443,0.0,0.872,0.0,98.017,0.0,0.028,0.0,1.439,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,49.6928,0.0,-9999,-9999,-9999,-9999,42.5394,0.0,-9999,-9999,-9999,-9999,-1.91772,0.0,-9999,-1.97192,-1.91772,-1.90113,0.0,0.0,0.0,0.966465,0.976898,1.18069,1.39461,2.88418,2.89256,3.12105,3.34731,3.77203,3.73722,3.75329,3.77373,2.06555,2.06555,2.07128,2.07737,-9999,-9999
20010122,-7.53,0.0,73.6993,26.39,0.0,229.421,0.0,1.001,0.0,97.733,0.0,0.081,0.0,2.244,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,59.0237,0.0,-9999,-9999,-9999,-9999,51.6479,0.0,-9999,-9999,-9999,-9999,-2.50672,0.0,-9999,-2.53273,-2.51707,-2.49383,0.0,0.0,0.0,0.918613,0.928869,1.12831,1.3366,3.42534,3.44594,3.59722,3.85003,3.71353,3.67926,3.69508,3.7152,1.87825,1.87825,1.88364,1.88917,-9999,-9999
20010123,-16.63,0.0,75.3842,38.704,0.0,173.794,0.0,0.874,0.0,99.175,0.0,0.035,0.0,2.173,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.8239,0.0,-9999,-9999,-9999,-9999,37.4204,0.0,-9999,-9999,-9999,-9999,-2.10437,0.0,-9999,-2.15947,-2.12802,-2.07582,0.0,0.0,0.0,0.274322,0.279512,0.377668,0.476251,2.37869,2.3676,2.50569,2.64301,2.47679,2.45393,2.46448,2.4779,2.45599,2.45599,2.46235,2.46961,-9999,-9999
20010124,-15.595,0.0,77.1256,31.322,0.0,199.784,0.0,1.014,0.0,98.506,0.0,0.0,0.0,1.937,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,49.6928,0.0,-9999,-9999,-9999,-9999,42.5394,0.0,-9999,-9999,-9999,-9999,-1.91772,0.0,-9999,-1.97192,-1.91772,-1.90113,0.0,0.0,0.0,0.363144,0.368994,0.48023,0.592935,2.28086,2.28297,2.42058,2.53895,2.61447,2.59034,2.60148,2.61564,2.12198,2.12198,2.12782,2.13408,-9999,-9999
20010125,-11.412,0.0,78.9226,21.776,0.0,209.535,0.0,0.901,0.0,97.503,0.0,0.151,0.0,2.087,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,59.0237,0.0,-9999,-9999,-9999,-9999,51.6479,0.0,-9999,-9999,-9999,-9999,-2.50672,0.0,-9999,-2.53273,-2.51707,-2.49383,0.0,0.0,0.0,0.577506,0.585843,0.744046,0.904396,3.08423,3.10471,3.21296,3.41557,3.20718,3.17758,3.19124,3.20862,1.62775,1.62775,1.63264,1.63744,-9999,-9999
20010126,-17.912,0.0,80.7752,39.837,0.0,184.218,0.0,0.749,0.0,98.383,0.0,0.753,0.0,1.263,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.8239,0.0,-9999,-9999,-9999,-9999,37.4204,0.0,-9999,-9999,-9999,-9999,-2.10437,0.0,-9999,-2.15947,-2.12802,-2.07582,0.0,0.0,0.0,0.199312,0.203707,0.286796,0.370096,2.30368,2.28996,2.41482,2.53545,2.29726,2.27606,2.28585,2.29829,2.47526,2.47526,2.48154,2.48886,-9999,-9999
20010127,-16.442,0.0,82.6835,36.659,0.0,205.561,0.0,0.747,0.0,97.941,0.0,0.055,0.0,1.11,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,49.6928,0.0,-9999,-9999,-9999,-9999,42.5394,0.0,-9999,-9999,-9999,-9999,-1.91772,0.0,-9999,-1.97192,-1.91772,-1.90113,0.0,0.0,0.0,0.259037,0.26431,0.363615,0.462764,2.17676,2.17792,2.30397,2.40832,2.50986,2.4867,2.49739,2.51099,2.38816,2.38816,2.39449,2.40154,-9999,-9999
20010128,-10.169,0.0,84.6471,9.102,0.0,242.705,0.0,0.852,0.0,96.965,0.0,0.58,0.0,1.679,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,59.0237,0.0,-9999,-9999,-9999,-9999,51.6479,0.0,-9999,-9999,-9999,-9999,-2.50672,0.0,-9999,-2.53273,-2.51707,-2.49383,0.0,0.0,0.0,0.715783,0.724558,0.894113,1.06966,3.22251,3.24301,3.36302,3.58108,3.35911,3.32811,3.34243,3.36063,0.815507,0.816104,0.818907,0.842471,-9999,-9999
20010129,-15.514,0.0,86.6659,42.091,0.0,210.06,0.0,0.77,0.0,97.938,0.0,0.186,0.0,1.546,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.8239,0.0,-9999,-9999,-9999,-9999,37.4204,0.0,-9999,-9999,-9999,-9999,-2.10437,0.0,-9999,-2.15947,-2.12802,-2.07582,0.0,0.0,0.0,0.335552,0.341388,0.451912,0.563247,2.43992,2.43097,2.57994,2.73108,2.63361,2.60931,2.62053,2.6348,2.60444,2.60444,2.61105,2.61875,-9999,-9999
20010130,-21.748,0.0,88.7395,7.825,0.0,234.516,0.0,0.769,0.0,98.07,0.0,3.62,0.0,2.446,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,49.6928,0.0,-9999,-9999,-9999,-9999,42.5394,0.0,-9999,-9999,-9999,-9999,-1.91772,0.0,-9999,-1.97192,-1.91772,-1.90113,0.0,0.0,0.0,0.0742821,0.0765167,0.119854,0.167009,1.992,1.98424,2.06021,2.11732,1.7359,1.71988,1.72727,1.73668,0.709087,0.709618,0.712056,0.734181,-9999,-9999
20010131,-23.154,0.0,90.8679,48.101,0.0,161.635,0.0,0.729,0.0,99.13,0.0,0.261,0.0,2.018,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,59.0237,0.0,-9999,-9999,-9999,-9999,51.6479,0.0,-9999,-9999,-9999,-9999,-2.50672,0.0,-9999,-2.53273,-2.51707,-2.49383,0.0,0.0,0.0,0.0524492,0.0541324,0.0871541,0.124012,2.55917,2.57418,2.58948,2.64186,1.53102,1.51689,1.52342,1.53171,2.86792,2.86792,2.87497,2.88345,-9999,-9999
20010201,-25.617,0.0,93.0506,38.954,0.0,173.004,0.0,0.766,0.0,99.197,0.0,0.167,0.0,1.704,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.8239,0.0,-9999,-9999,-9999,-9999,37.4204,0.0,-9999,-9999,-9999,-9999,-2.10437,0.0,-9999,-2.15947,-2.12802,-2.07582,0.0,0.0,0.0,0.0438794,0.0451749,0.0704368,0.0982013,2.14825,2.12414,2.19846,2.25499,1.20817,1.19702,1.20217,1.20871,2.51186,2.51186,2.51846,2.52587,-9999,-9999
20010202,-13.756,0.0,95.2871,23.429,0.0,250.869,0.0,0.905,0.0,97.233,0.0,0.802,0.0,1.737,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,49.6928,0.0,-9999,-9999,-9999,-9999,42.5394,0.0,-9999,-9999,-9999,-9999,-1.91772,0.0,-9999,-1.97192,-1.91772,-1.90113,0.0,0.0,0.0,0.429125,0.436036,0.566824,0.698674,2.34684,2.35092,2.50718,2.64676,2.88231,2.85571,2.86799,2.8836,1.74095,1.74095,1.74615,1.75127,-9999,-9999
20010203,-15.184,0.0,97.5772,52.253,0.0,187.855,0.0,0.773,0.0,97.781,0.0,0.016,0.0,1.068,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,59.0237,0.0,-9999,-9999,-9999,-9999,51.6479,0.0,-9999,-9999,-9999,-9999,-2.50672,0.0,-9999,-2.53273,-2.51707,-2.49383,0.0,0.0,0.0,0.338408,0.344476,0.458927,0.573661,2.84513,2.87075,2.92784,3.08133,2.68483,2.66006,2.6715,2.68604,3.04413,3.04413,3.05146,3.06046,-9999,-9999
20010204,-17.206,0.0,99.9203,7.99,0.0,243.519,0.0,0.747,0.0,97.985,0.0,0.898,0.0,1.138,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.8239,0.0,-9999,-9999,-9999,-9999,37.4204,0.0,-9999,-9999,-9999,-9999,-2.10437,0.0,-9999,-2.15947,-2.12802,-2.07582,0.0,0.0,0.0,0.226739,0.231548,0.322269,0.412958,2.33111,2.31876,2.45029,2.57922,2.39954,2.3774,2.38762,2.40062,0.724872,0.725417,0.727909,0.750701,-9999,-9999
20010205,-16.003,0.0,102.316,19.122,0.0,234.129,0.0,0.786,0.0,98.22,0.0,0.514,0.0,1.593,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,49.6928,0.0,-9999,-9999,-9999,-9999,42.5394,0.0,-9999,-9999,-9999,-9999,-1.91772,0.0,-9999,-1.97192,-1.91772,-1.90113,0.0,0.0,0.0,0.274632,0.280169,0.384311,0.488153,2.19235,2.19439,2.32467,2.43422,2.57415,2.5504,2.56137,2.57531,1.50785,1.50785,1.5126,1.52409,-9999,-9999
20010206,-20.746,0.0,104.764,39.686,0.0,186.313,0.0,0.707,0.0,98.992,0.0,0.078,0.0,1.069,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,59.0237,0.0,-9999,-9999,-9999,-9999,51.6479,0.0,-9999,-9999,-9999,-9999,-2.50672,0.0,-9999,-2.53273,-2.51707,-2.49383,0.0,0.0,0.0,0.10134,0.104108,0.157249,0.213537,2.60806,2.62237,2.64499,2.71812,1.88357,1.86619,1.87422,1.88442,2.57309,2.57309,2.57989,2.58748,-9999,-9999
20010207,-25.437,0.0,107.263,49.781,0.0,161.639,0.0,0.689,0.0,99.688,0.0,0.0,0.0,0.725,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.8239,0.0,-9999,-9999,-9999,-9999,37.4204,0.0,-9999,-9999,-9999,-9999,-2.10437,0.0,-9999,-2.15947,-2.12802,-2.07582,0.0,0.0,0.0,0.0265484,0.0275115,0.0468756,0.069603,2.13092,2.1057,2.1749,2.22539,1.20599,1.19487,1.2,1.20654,2.97853,2.97853,2.98587,2.99467,-9999,-9999
20010208,-28.256,0.0,109.813,51.748,0.0,154.776,0.0,0.682,0.0,100.057,0.0,0.141,0.0,0.659,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,49.6928,0.0,-9999,-9999,-9999,-9999,42.5394,0.0,-9999,-9999,-9999,-9999,-1.91772,0.0,-9999,-1.97192,-1.91772,-1.90113,0.0,0.0,0.0,0.00930043,0.0096936,0.0179212,0.0283285,1.92702,1.91232,1.9521,1.99743,0.827873,0.820233,0.82376,0.828246,3.07793,3.07793,3.08546,3.09456,-9999,-9999
20010209,-28.886,0.0,112.414,66.742,0.0,135.082,0.0,0.687,0.0,99.837,0.0,0.0,0.0,0.851,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,59.0237,0.0,-9999,-9999,-9999,-9999,51.6479,0.0,-9999,-9999,-9999,-9999,-2.50672,0.0,-9999,-2.53273,-2.51707,-2.49383,0.0,0.0,0.0,0.00864833,0.00900531,0.0164467,0.0257955,2.51537,2.51161,2.52716,2.55034,0.75706,0.750073,0.753299,0.757401,3.58574,3.58574,3.59377,3.60439,-9999,-9999
20010210,-26.327,0.0,115.064,68.682,0.0,139.648,0.0,0.735,0.0,99.471,0.0,0.0,0.0,1.441,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.8239,0.0,-9999,-9999,-9999,-9999,37.4204,0.0,-9999,-9999,-9999,-9999,-2.10437,0.0,-9999,-2.15947,-2.12802,-2.07582,0.0,0.0,0.0,0.0287169,0.0296749,0.0486801,0.0704014,2.13309,2.10784,2.1767,2.22634,1.10109,1.09093,1.09562,1.10159,3.65791,3.65791,3.66604,3.67688,-9999,-9999
